ID;Region;Nombre_Hueso;Cara;Accidentes_Oseos;Musculos_Relacionados;Funcion_Bio;Articulaciones_Clave;Agente_Fisico;Referencia_Netter;Referencia_Colorear;Link_PDF_Carrion;Puntos_Clave_Palpacion;Terminologia_Tecnica;Prioridad_BRI;Accion_Sugerida;Pista_Trivia;Riesgo_Fractura
H075;Tórax;Costilla 10 Derecha (Falsa);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T10;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal derecho 10;Costilla Falsa;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón derecho, soy Falsa.;Riesgo ALTO (Fisuras)
H076;Tórax;Costilla 10 Izquierda (Falsa);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T10;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal izquierdo 10;Costilla Falsa;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón izquierdo, soy Falsa.;Riesgo ALTO (Fisuras)
H077;Tórax;Costilla 11 Derecha (Flotante);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T11;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal derecho 11;Costilla Flotante;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón derecho, soy Flotante.;Riesgo ALTO (Fisuras)
H078;Tórax;Costilla 11 Izquierda (Flotante);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T11;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal izquierdo 11;Costilla Flotante;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón izquierdo, soy Flotante.;Riesgo ALTO (Fisuras)
H079;Tórax;Costilla 12 Derecha (Flotante);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T12;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal derecho 12;Costilla Flotante;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón derecho, soy Flotante.;Riesgo ALTO (Fisuras)
H080;Tórax;Costilla 12 Izquierda (Flotante);Lateral;Surco costal, Cabeza, Cuello;Intercostales, Serrato;Protección pulmonar y expansión;Costovertebral T12;Magnetoterapia;Lámina 184;Lámina 5-2;-;Arco costal izquierdo 12;Costilla Flotante;Ámbar;Fisioterapia respiratoria;Protejo tu pulmón izquierdo, soy Flotante.;Riesgo ALTO (Fisuras)
H081;Cintura Escapular;Clavícula Derecha;Anterosuperior;Extremidad acromial y esternal;Pectoral mayor, Trapecio superior;Puntal de la extremidad superior;Acromioclavicular, Esternoclavicular;Ultrasonido;Lámina 410;Lámina 6-1;C04.pdf;Cuerpo de clavícula Derecha;Hueso en S itálica;Rojo;Movilización acromioclavicular;Conecto tu brazo con tu cuerpo.;Riesgo MUY ALTO (Fractura en caída)
H082;Cintura Escapular;Escápula Derecha;Posterior;Espina, Acromion, Coracoides, Glenoides;Manguito rotador, Romboides, Trapecio;Base de movilidad del hombro;Glenohumeral, Acromioclavicular;Termoterapia / TENS;Lámina 411;Lámina 6-2;C04.pdf;Borde medial, Angulo inferior Derecha;Omóplato;Rojo;Reeducación escapulotorácica;Soy el cimiento móvil de tu hombro.;Riesgo MEDIO
H083;Cintura Escapular;Clavícula Izquierda;Anterosuperior;Extremidad acromial y esternal;Pectoral mayor, Trapecio superior;Puntal de la extremidad superior;Acromioclavicular, Esternoclavicular;Ultrasonido;Lámina 410;Lámina 6-1;C04.pdf;Cuerpo de clavícula Izquierda;Hueso en S itálica;Rojo;Movilización acromioclavicular;Conecto tu brazo con tu cuerpo.;Riesgo MUY ALTO (Fractura en caída)
H084;Cintura Escapular;Escápula Izquierda;Posterior;Espina, Acromion, Coracoides, Glenoides;Manguito rotador, Romboides, Trapecio;Base de movilidad del hombro;Glenohumeral, Acromioclavicular;Termoterapia / TENS;Lámina 411;Lámina 6-2;C04.pdf;Borde medial, Angulo inferior Izquierda;Omóplato;Rojo;Reeducación escapulotorácica;Soy el cimiento móvil de tu hombro.;Riesgo MEDIO
H085;Brazo;Húmero Derecho;Hueso Largo;Troquíter, Troquín, Corredera bicipital, Epicóndilos;Deltoides, Bíceps, Tríceps;Palanca principal del brazo;Glenohumeral, Humerocubital;Láser / Magneto;Lámina 413;Lámina 6-3;-;Epicóndilos lateral y medial Derecho;Hueso largo braquial;Rojo;Tratamiento de epicondilitis;Soy el hueso de tu brazo.;Riesgo ALTO
H086;Antebrazo;Radio Derecho;Hueso Largo;Cabeza radial, Apófisis estiloides;Braquiorradial, Supinador;Pronosupinación;Radiocubital, Radiocarpiana;Ultrasonido;Lámina 425;Lámina 6-4;-;Apófisis estiloides radial Derecho;Hueso lateral del antebrazo;Rojo;Movilización de muñeca;Sigo la línea de tu dedo pulgar.;Riesgo MUY ALTO (Fractura de Colles)
H087;Antebrazo;Cúbito Derecho;Hueso Largo;Olécranon, Apófisis coronoides;Flexor cubital, Tríceps;Estabilidad del codo;Humerocubital;TENS;Lámina 425;Lámina 6-4;-;Olécranon (codo) Derecho;Hueso medial del antebrazo;Rojo;Descarga de tríceps;Formo la punta de tu codo (olécranon).;Riesgo ALTO
H088;Brazo;Húmero Izquierdo;Hueso Largo;Troquíter, Troquín, Corredera bicipital, Epicóndilos;Deltoides, Bíceps, Tríceps;Palanca principal del brazo;Glenohumeral, Humerocubital;Láser / Magneto;Lámina 413;Lámina 6-3;-;Epicóndilos lateral y medial Izquierdo;Hueso largo braquial;Rojo;Tratamiento de epicondilitis;Soy el hueso de tu brazo.;Riesgo ALTO
H089;Antebrazo;Radio Izquierdo;Hueso Largo;Cabeza radial, Apófisis estiloides;Braquiorradial, Supinador;Pronosupinación;Radiocubital, Radiocarpiana;Ultrasonido;Lámina 425;Lámina 6-4;-;Apófisis estiloides radial Izquierdo;Hueso lateral del antebrazo;Rojo;Movilización de muñeca;Sigo la línea de tu dedo pulgar.;Riesgo MUY ALTO (Fractura de Colles)
H090;Antebrazo;Cúbito Izquierdo;Hueso Largo;Olécranon, Apófisis coronoides;Flexor cubital, Tríceps;Estabilidad del codo;Humerocubital;TENS;Lámina 425;Lámina 6-4;-;Olécranon (codo) Izquierdo;Hueso medial del antebrazo;Rojo;Descarga de tríceps;Formo la punta de tu codo (olécranon).;Riesgo ALTO
H091;Carpo (Muñeca);Escafoides de Mano Derecha;Hueso Corto;Tubérculos carpianos;Retináculo flexor, Flexores carpo;Deslizamiento de muñeca;Articulaciones mediocarpianas;Magnetoterapia / Láser;Lámina 441;Lámina 6-5;-;Hueso Escafoides en tabaquera o base;Huesos carpianos;Rojo;Movilización de carpos;Soy un pequeño hueso en la base de tu mano.;Riesgo ALTO (Especialmente Escafoides)
H092;Carpo (Muñeca);Semilunar de Mano Derecha;Hueso Corto;Tubérculos carpianos;Retináculo flexor, Flexores carpo;Deslizamiento de muñeca;Articulaciones mediocarpianas;Magnetoterapia / Láser;Lámina 441;Lámina 6-5;-;Hueso Semilunar en tabaquera o base;Huesos carpianos;Rojo;Movilización de carpos;Soy un pequeño hueso en la base de tu mano.;Riesgo ALTO (Especialmente Escafoides)
H093;Carpo (Muñeca);Piramidal de Mano Derecha;Hueso Corto;Tubérculos carpianos;Retináculo flexor, Flexores carpo;Deslizamiento de muñeca;Articulaciones mediocarpianas;Magnetoterapia / Láser;Lámina 441;Lámina 6-5;-;Hueso Piramidal en tabaquera o base;Huesos carpianos;Rojo;Movilización de carpos;Soy un pequeño hueso en la base de tu mano.;Riesgo ALTO (Especialmente Escafoides)
H094;Carpo (Muñeca);Pisiforme de Mano Derecha;Hueso Corto;Tubérculos carpianos;Retináculo flexor, Flexores carpo;Deslizamiento de muñeca;Articulaciones mediocarpianas;Magnetoterapia / Láser;Lámina 441;Lámina 6-5;-;Hueso Pisiforme en tabaquera o base;Huesos carpianos;Rojo;Movilización de carpos;Soy un pequeño hueso en la base de tu mano.;Riesgo ALTO (Especialmente Escafoides)
H095;Carpo (Muñeca);Trapecio de Mano Derecha;Hueso Corto;Tubérculos carpianos;Retináculo flexor, Flexores carpo;Deslizamiento de muñeca;Articulaciones mediocarpianas;Magnetoterapia / Láser;Lámina 441;Lámina 6-5;-;Hueso Trapecio en tabaquera o base;Huesos carpianos;Rojo;Movilización de carpos;Soy un pequeño hueso en la base de tu mano.;Riesgo ALTO (Especialmente Escafoides)
H096;Carpo (Muñeca);Trapezoide de Mano Derecha;Hueso Corto;Tubérculos carpianos;Retináculo flexor, Flexores carpo;Deslizamiento de muñeca;Articulaciones mediocarpianas;Magnetoterapia / Láser;Lámina 441;Lámina 6-5;-;Hueso Trapezoide en tabaquera o base;Huesos carpianos;Rojo;Movilización de carpos;Soy un pequeño hueso en la base de tu mano.;Riesgo ALTO (Especialmente Escafoides)
H097;Carpo (Muñeca);Grande de Mano Derecha;Hueso Corto;Tubérculos carpianos;Retináculo flexor, Flexores carpo;Deslizamiento de muñeca;Articulaciones mediocarpianas;Magnetoterapia / Láser;Lámina 441;Lámina 6-5;-;Hueso Grande en tabaquera o base;Huesos carpianos;Rojo;Movilización de carpos;Soy un pequeño hueso en la base de tu mano.;Riesgo ALTO (Especialmente Escafoides)
H098;Carpo (Muñeca);Ganchoso de Mano Derecha;Hueso Corto;Tubérculos carpianos;Retináculo flexor, Flexores carpo;Deslizamiento de muñeca;Articulaciones mediocarpianas;Magnetoterapia / Láser;Lámina 441;Lámina 6-5;-;Hueso Ganchoso en tabaquera o base;Huesos carpianos;Rojo;Movilización de carpos;Soy un pequeño hueso en la base de tu mano.;Riesgo ALTO (Especialmente Escafoides)
H099;Metacarpo;Metacarpiano 1 de Mano Derecha;Hueso Largo Corto;Base, Cuerpo, Cabeza;Interóseos, Lumbricales;Soporte de la palma;Metacarpofalángica;Ultrasonido;Lámina 442;Lámina 6-6;-;Nudillo 1 Derecha;Metacarpo;Ámbar;Deslizamiento dorsal;Soy el nudillo del dedo 1.;Riesgo MEDIO (Fractura de boxeador en el 5to)
H100;Metacarpo;Metacarpiano 2 de Mano Derecha;Hueso Largo Corto;Base, Cuerpo, Cabeza;Interóseos, Lumbricales;Soporte de la palma;Metacarpofalángica;Ultrasonido;Lámina 442;Lámina 6-6;-;Nudillo 2 Derecha;Metacarpo;Ámbar;Deslizamiento dorsal;Soy el nudillo del dedo 2.;Riesgo MEDIO (Fractura de boxeador en el 5to)
H101;Metacarpo;Metacarpiano 3 de Mano Derecha;Hueso Largo Corto;Base, Cuerpo, Cabeza;Interóseos, Lumbricales;Soporte de la palma;Metacarpofalángica;Ultrasonido;Lámina 442;Lámina 6-6;-;Nudillo 3 Derecha;Metacarpo;Ámbar;Deslizamiento dorsal;Soy el nudillo del dedo 3.;Riesgo MEDIO (Fractura de boxeador en el 5to)
H102;Metacarpo;Metacarpiano 4 de Mano Derecha;Hueso Largo Corto;Base, Cuerpo, Cabeza;Interóseos, Lumbricales;Soporte de la palma;Metacarpofalángica;Ultrasonido;Lámina 442;Lámina 6-6;-;Nudillo 4 Derecha;Metacarpo;Ámbar;Deslizamiento dorsal;Soy el nudillo del dedo 4.;Riesgo MEDIO (Fractura de boxeador en el 5to)
H103;Metacarpo;Metacarpiano 5 de Mano Derecha;Hueso Largo Corto;Base, Cuerpo, Cabeza;Interóseos, Lumbricales;Soporte de la palma;Metacarpofalángica;Ultrasonido;Lámina 442;Lámina 6-6;-;Nudillo 5 Derecha;Metacarpo;Ámbar;Deslizamiento dorsal;Soy el nudillo del dedo 5.;Riesgo MEDIO (Fractura de boxeador en el 5to)
H104;Falanges (Mano);Falange Proximal 1 de Mano Derecha;Hueso Largo Corto;Base, Cabeza;Interóseos;Flexión de dedos;Interfalángica proximal;Baño parafina;Lámina 442;Lámina 6-6;-;Primer segmento dedo 1;Falange;Verde;Ejercicios de pinza fina;Primera sección de tu dedo 1.;Riesgo MEDIO
H105;Falanges (Mano);Falange Distal 1 de Mano Derecha;Hueso Largo Corto;Tuberosidad ungueal;Flexor profundo de dedos;Sensibilidad y agarre fino;Interfalángica distal;Baño parafina;Lámina 442;Lámina 6-6;-;Punta del dedo 1;Falange;Verde;Desensibilización;Soporto la uña de tu dedo 1.;Riesgo MEDIO (Aplastamiento)
H106;Falanges (Mano);Falange Proximal 2 de Mano Derecha;Hueso Largo Corto;Base, Cabeza;Interóseos;Flexión de dedos;Interfalángica proximal;Baño parafina;Lámina 442;Lámina 6-6;-;Primer segmento dedo 2;Falange;Verde;Ejercicios de pinza fina;Primera sección de tu dedo 2.;Riesgo MEDIO
H107;Falanges (Mano);Falange Media 2 de Mano Derecha;Hueso Largo Corto;Base, Cabeza;Flexor superficial de dedos;Flexión de dedos;Interfalángica distal;Baño parafina;Lámina 442;Lámina 6-6;-;Segmento medio dedo 2;Falange;Verde;Ejercicios de pinza fina;Sección media de tu dedo 2.;Riesgo MEDIO
H108;Falanges (Mano);Falange Distal 2 de Mano Derecha;Hueso Largo Corto;Tuberosidad ungueal;Flexor profundo de dedos;Sensibilidad y agarre fino;Interfalángica distal;Baño parafina;Lámina 442;Lámina 6-6;-;Punta del dedo 2;Falange;Verde;Desensibilización;Soporto la uña de tu dedo 2.;Riesgo MEDIO (Aplastamiento)
H109;Falanges (Mano);Falange Proximal 3 de Mano Derecha;Hueso Largo Corto;Base, Cabeza;Interóseos;Flexión de dedos;Interfalángica proximal;Baño parafina;Lámina 442;Lámina 6-6;-;Primer segmento dedo 3;Falange;Verde;Ejercicios de pinza fina;Primera sección de tu dedo 3.;Riesgo MEDIO
H110;Falanges (Mano);Falange Media 3 de Mano Derecha;Hueso Largo Corto;Base, Cabeza;Flexor superficial de dedos;Flexión de dedos;Interfalángica distal;Baño parafina;Lámina 442;Lámina 6-6;-;Segmento medio dedo 3;Falange;Verde;Ejercicios de pinza fina;Sección media de tu dedo 3.;Riesgo MEDIO
H111;Falanges (Mano);Falange Distal 3 de Mano Derecha;Hueso Largo Corto;Tuberosidad ungueal;Flexor profundo de dedos;Sensibilidad y agarre fino;Interfalángica distal;Baño parafina;Lámina 442;Lámina 6-6;-;Punta del dedo 3;Falange;Verde;Desensibilización;Soporto la uña de tu dedo 3.;Riesgo MEDIO (Aplastamiento)
H112;Falanges (Mano);Falange Proximal 4 de Mano Derecha;Hueso Largo Corto;Base, Cabeza;Interóseos;Flexión de dedos;Interfalángica proximal;Baño parafina;Lámina 442;Lámina 6-6;-;Primer segmento dedo 4;Falange;Verde;Ejercicios de pinza fina;Primera sección de tu dedo 4.;Riesgo MEDIO
H113;Falanges (Mano);Falange Media 4 de Mano Derecha;Hueso Largo Corto;Base, Cabeza;Flexor superficial de dedos;Flexión de dedos;Interfalángica distal;Baño parafina;Lámina 442;Lámina 6-6;-;Segmento medio dedo 4;Falange;Verde;Ejercicios de pinza fina;Sección media de tu dedo 4.;Riesgo MEDIO
H114;Falanges (Mano);Falange Distal 4 de Mano Derecha;Hueso Largo Corto;Tuberosidad ungueal;Flexor profundo de dedos;Sensibilidad y agarre fino;Interfalángica distal;Baño parafina;Lámina 442;Lámina 6-6;-;Punta del dedo 4;Falange;Verde;Desensibilización;Soporto la uña de tu dedo 4.;Riesgo MEDIO (Aplastamiento)
H115;Falanges (Mano);Falange Proximal 5 de Mano Derecha;Hueso Largo Corto;Base, Cabeza;Interóseos;Flexión de dedos;Interfalángica proximal;Baño parafina;Lámina 442;Lámina 6-6;-;Primer segmento dedo 5;Falange;Verde;Ejercicios de pinza fina;Primera sección de tu dedo 5.;Riesgo MEDIO
H116;Falanges (Mano);Falange Media 5 de Mano Derecha;Hueso Largo Corto;Base, Cabeza;Flexor superficial de dedos;Flexión de dedos;Interfalángica distal;Baño parafina;Lámina 442;Lámina 6-6;-;Segmento medio dedo 5;Falange;Verde;Ejercicios de pinza fina;Sección media de tu dedo 5.;Riesgo MEDIO
H117;Falanges (Mano);Falange Distal 5 de Mano Derecha;Hueso Largo Corto;Tuberosidad ungueal;Flexor profundo de dedos;Sensibilidad y agarre fino;Interfalángica distal;Baño parafina;Lámina 442;Lámina 6-6;-;Punta del dedo 5;Falange;Verde;Desensibilización;Soporto la uña de tu dedo 5.;Riesgo MEDIO (Aplastamiento)
H118;Carpo (Muñeca);Escafoides de Mano Izquierda;Hueso Corto;Tubérculos carpianos;Retináculo flexor, Flexores carpo;Deslizamiento de muñeca;Articulaciones mediocarpianas;Magnetoterapia / Láser;Lámina 441;Lámina 6-5;-;Hueso Escafoides en tabaquera o base;Huesos carpianos;Rojo;Movilización de carpos;Soy un pequeño hueso en la base de tu mano.;Riesgo ALTO (Especialmente Escafoides)
H119;Carpo (Muñeca);Semilunar de Mano Izquierda;Hueso Corto;Tubérculos carpianos;Retináculo flexor, Flexores carpo;Deslizamiento de muñeca;Articulaciones mediocarpianas;Magnetoterapia / Láser;Lámina 441;Lámina 6-5;-;Hueso Semilunar en tabaquera o base;Huesos carpianos;Rojo;Movilización de carpos;Soy un pequeño hueso en la base de tu mano.;Riesgo ALTO (Especialmente Escafoides)
H120;Carpo (Muñeca);Piramidal de Mano Izquierda;Hueso Corto;Tubérculos carpianos;Retináculo flexor, Flexores carpo;Deslizamiento de muñeca;Articulaciones mediocarpianas;Magnetoterapia / Láser;Lámina 441;Lámina 6-5;-;Hueso Piramidal en tabaquera o base;Huesos carpianos;Rojo;Movilización de carpos;Soy un pequeño hueso en la base de tu mano.;Riesgo ALTO (Especialmente Escafoides)
H121;Carpo (Muñeca);Pisiforme de Mano Izquierda;Hueso Corto;Tubérculos carpianos;Retináculo flexor, Flexores carpo;Deslizamiento de muñeca;Articulaciones mediocarpianas;Magnetoterapia / Láser;Lámina 441;Lámina 6-5;-;Hueso Pisiforme en tabaquera o base;Huesos carpianos;Rojo;Movilización de carpos;Soy un pequeño hueso en la base de tu mano.;Riesgo ALTO (Especialmente Escafoides)
H122;Carpo (Muñeca);Trapecio de Mano Izquierda;Hueso Corto;Tubérculos carpianos;Retináculo flexor, Flexores carpo;Deslizamiento de muñeca;Articulaciones mediocarpianas;Magnetoterapia / Láser;Lámina 441;Lámina 6-5;-;Hueso Trapecio en tabaquera o base;Huesos carpianos;Rojo;Movilización de carpos;Soy un pequeño hueso en la base de tu mano.;Riesgo ALTO (Especialmente Escafoides)
H123;Carpo (Muñeca);Trapezoide de Mano Izquierda;Hueso Corto;Tubérculos carpianos;Retináculo flexor, Flexores carpo;Deslizamiento de muñeca;Articulaciones mediocarpianas;Magnetoterapia / Láser;Lámina 441;Lámina 6-5;-;Hueso Trapezoide en tabaquera o base;Huesos carpianos;Rojo;Movilización de carpos;Soy un pequeño hueso en la base de tu mano.;Riesgo ALTO (Especialmente Escafoides)
H124;Carpo (Muñeca);Grande de Mano Izquierda;Hueso Corto;Tubérculos carpianos;Retináculo flexor, Flexores carpo;Deslizamiento de muñeca;Articulaciones mediocarpianas;Magnetoterapia / Láser;Lámina 441;Lámina 6-5;-;Hueso Grande en tabaquera o base;Huesos carpianos;Rojo;Movilización de carpos;Soy un pequeño hueso en la base de tu mano.;Riesgo ALTO (Especialmente Escafoides)
H125;Carpo (Muñeca);Ganchoso de Mano Izquierda;Hueso Corto;Tubérculos carpianos;Retináculo flexor, Flexores carpo;Deslizamiento de muñeca;Articulaciones mediocarpianas;Magnetoterapia / Láser;Lámina 441;Lámina 6-5;-;Hueso Ganchoso en tabaquera o base;Huesos carpianos;Rojo;Movilización de carpos;Soy un pequeño hueso en la base de tu mano.;Riesgo ALTO (Especialmente Escafoides)
H126;Metacarpo;Metacarpiano 1 de Mano Izquierda;Hueso Largo Corto;Base, Cuerpo, Cabeza;Interóseos, Lumbricales;Soporte de la palma;Metacarpofalángica;Ultrasonido;Lámina 442;Lámina 6-6;-;Nudillo 1 Izquierda;Metacarpo;Ámbar;Deslizamiento dorsal;Soy el nudillo del dedo 1.;Riesgo MEDIO (Fractura de boxeador en el 5to)
H127;Metacarpo;Metacarpiano 2 de Mano Izquierda;Hueso Largo Corto;Base, Cuerpo, Cabeza;Interóseos, Lumbricales;Soporte de la palma;Metacarpofalángica;Ultrasonido;Lámina 442;Lámina 6-6;-;Nudillo 2 Izquierda;Metacarpo;Ámbar;Deslizamiento dorsal;Soy el nudillo del dedo 2.;Riesgo MEDIO (Fractura de boxeador en el 5to)
H128;Metacarpo;Metacarpiano 3 de Mano Izquierda;Hueso Largo Corto;Base, Cuerpo, Cabeza;Interóseos, Lumbricales;Soporte de la palma;Metacarpofalángica;Ultrasonido;Lámina 442;Lámina 6-6;-;Nudillo 3 Izquierda;Metacarpo;Ámbar;Deslizamiento dorsal;Soy el nudillo del dedo 3.;Riesgo MEDIO (Fractura de boxeador en el 5to)
H129;Metacarpo;Metacarpiano 4 de Mano Izquierda;Hueso Largo Corto;Base, Cuerpo, Cabeza;Interóseos, Lumbricales;Soporte de la palma;Metacarpofalángica;Ultrasonido;Lámina 442;Lámina 6-6;-;Nudillo 4 Izquierda;Metacarpo;Ámbar;Deslizamiento dorsal;Soy el nudillo del dedo 4.;Riesgo MEDIO (Fractura de boxeador en el 5to)
H130;Metacarpo;Metacarpiano 5 de Mano Izquierda;Hueso Largo Corto;Base, Cuerpo, Cabeza;Interóseos, Lumbricales;Soporte de la palma;Metacarpofalángica;Ultrasonido;Lámina 442;Lámina 6-6;-;Nudillo 5 Izquierda;Metacarpo;Ámbar;Deslizamiento dorsal;Soy el nudillo del dedo 5.;Riesgo MEDIO (Fractura de boxeador en el 5to)
H131;Falanges (Mano);Falange Proximal 1 de Mano Izquierda;Hueso Largo Corto;Base, Cabeza;Interóseos;Flexión de dedos;Interfalángica proximal;Baño parafina;Lámina 442;Lámina 6-6;-;Primer segmento dedo 1;Falange;Verde;Ejercicios de pinza fina;Primera sección de tu dedo 1.;Riesgo MEDIO
H132;Falanges (Mano);Falange Distal 1 de Mano Izquierda;Hueso Largo Corto;Tuberosidad ungueal;Flexor profundo de dedos;Sensibilidad y agarre fino;Interfalángica distal;Baño parafina;Lámina 442;Lámina 6-6;-;Punta del dedo 1;Falange;Verde;Desensibilización;Soporto la uña de tu dedo 1.;Riesgo MEDIO (Aplastamiento)
H133;Falanges (Mano);Falange Proximal 2 de Mano Izquierda;Hueso Largo Corto;Base, Cabeza;Interóseos;Flexión de dedos;Interfalángica proximal;Baño parafina;Lámina 442;Lámina 6-6;-;Primer segmento dedo 2;Falange;Verde;Ejercicios de pinza fina;Primera sección de tu dedo 2.;Riesgo MEDIO
H134;Falanges (Mano);Falange Media 2 de Mano Izquierda;Hueso Largo Corto;Base, Cabeza;Flexor superficial de dedos;Flexión de dedos;Interfalángica distal;Baño parafina;Lámina 442;Lámina 6-6;-;Segmento medio dedo 2;Falange;Verde;Ejercicios de pinza fina;Sección media de tu dedo 2.;Riesgo MEDIO
H135;Falanges (Mano);Falange Distal 2 de Mano Izquierda;Hueso Largo Corto;Tuberosidad ungueal;Flexor profundo de dedos;Sensibilidad y agarre fino;Interfalángica distal;Baño parafina;Lámina 442;Lámina 6-6;-;Punta del dedo 2;Falange;Verde;Desensibilización;Soporto la uña de tu dedo 2.;Riesgo MEDIO (Aplastamiento)
H136;Falanges (Mano);Falange Proximal 3 de Mano Izquierda;Hueso Largo Corto;Base, Cabeza;Interóseos;Flexión de dedos;Interfalángica proximal;Baño parafina;Lámina 442;Lámina 6-6;-;Primer segmento dedo 3;Falange;Verde;Ejercicios de pinza fina;Primera sección de tu dedo 3.;Riesgo MEDIO
H137;Falanges (Mano);Falange Media 3 de Mano Izquierda;Hueso Largo Corto;Base, Cabeza;Flexor superficial de dedos;Flexión de dedos;Interfalángica distal;Baño parafina;Lámina 442;Lámina 6-6;-;Segmento medio dedo 3;Falange;Verde;Ejercicios de pinza fina;Sección media de tu dedo 3.;Riesgo MEDIO
H138;Falanges (Mano);Falange Distal 3 de Mano Izquierda;Hueso Largo Corto;Tuberosidad ungueal;Flexor profundo de dedos;Sensibilidad y agarre fino;Interfalángica distal;Baño parafina;Lámina 442;Lámina 6-6;-;Punta del dedo 3;Falange;Verde;Desensibilización;Soporto la uña de tu dedo 3.;Riesgo MEDIO (Aplastamiento)
H139;Falanges (Mano);Falange Proximal 4 de Mano Izquierda;Hueso Largo Corto;Base, Cabeza;Interóseos;Flexión de dedos;Interfalángica proximal;Baño parafina;Lámina 442;Lámina 6-6;-;Primer segmento dedo 4;Falange;Verde;Ejercicios de pinza fina;Primera sección de tu dedo 4.;Riesgo MEDIO
H140;Falanges (Mano);Falange Media 4 de Mano Izquierda;Hueso Largo Corto;Base, Cabeza;Flexor superficial de dedos;Flexión de dedos;Interfalángica distal;Baño parafina;Lámina 442;Lámina 6-6;-;Segmento medio dedo 4;Falange;Verde;Ejercicios de pinza fina;Sección media de tu dedo 4.;Riesgo MEDIO
H141;Falanges (Mano);Falange Distal 4 de Mano Izquierda;Hueso Largo Corto;Tuberosidad ungueal;Flexor profundo de dedos;Sensibilidad y agarre fino;Interfalángica distal;Baño parafina;Lámina 442;Lámina 6-6;-;Punta del dedo 4;Falange;Verde;Desensibilización;Soporto la uña de tu dedo 4.;Riesgo MEDIO (Aplastamiento)
H142;Falanges (Mano);Falange Proximal 5 de Mano Izquierda;Hueso Largo Corto;Base, Cabeza;Interóseos;Flexión de dedos;Interfalángica proximal;Baño parafina;Lámina 442;Lámina 6-6;-;Primer segmento dedo 5;Falange;Verde;Ejercicios de pinza fina;Primera sección de tu dedo 5.;Riesgo MEDIO
H143;Falanges (Mano);Falange Media 5 de Mano Izquierda;Hueso Largo Corto;Base, Cabeza;Flexor superficial de dedos;Flexión de dedos;Interfalángica distal;Baño parafina;Lámina 442;Lámina 6-6;-;Segmento medio dedo 5;Falange;Verde;Ejercicios de pinza fina;Sección media de tu dedo 5.;Riesgo MEDIO
H144;Falanges (Mano);Falange Distal 5 de Mano Izquierda;Hueso Largo Corto;Tuberosidad ungueal;Flexor profundo de dedos;Sensibilidad y agarre fino;Interfalángica distal;Baño parafina;Lámina 442;Lámina 6-6;-;Punta del dedo 5;Falange;Verde;Desensibilización;Soporto la uña de tu dedo 5.;Riesgo MEDIO (Aplastamiento)
H145;Cintura Pélvica;Coxal Derecho (Ilion, Isquion, Pubis);Plano;Cresta ilíaca, EIAS, Acetábulo, Tuberosidad isquiática;Glúteos, Psoas, Isquiotibiales;Transferencia de carga tronco-pierna;Coxofemoral, Sacroilíaca;Magnetoterapia;Lámina 473;Lámina 7-1;C04.pdf;Cresta ilíaca, EIAS Derecho;Hueso pélvico;Rojo;Reeducación pélvica;Soy la fusión de 3 huesos que forma tu cadera.;Riesgo GRAVE (Fractura de pelvis)
H146;Cintura Pélvica;Coxal Izquierdo (Ilion, Isquion, Pubis);Plano;Cresta ilíaca, EIAS, Acetábulo, Tuberosidad isquiática;Glúteos, Psoas, Isquiotibiales;Transferencia de carga tronco-pierna;Coxofemoral, Sacroilíaca;Magnetoterapia;Lámina 473;Lámina 7-1;C04.pdf;Cresta ilíaca, EIAS Izquierdo;Hueso pélvico;Rojo;Reeducación pélvica;Soy la fusión de 3 huesos que forma tu cadera.;Riesgo GRAVE (Fractura de pelvis)
H147;Muslo;Fémur Derecho;Hueso Largo;Cabeza, Cuello, Trocánter Mayor y Menor, Cóndilos;Cuádriceps, Isquiotibiales, Glúteos;Soporte de peso, Marcha;Coxofemoral, Femorotibial;Magneto / Ultrasonido;Lámina 475;Lámina 7-2;-;Trocánter mayor Derecho;Fémur;Rojo;Fortalecimiento carga;Soy el hueso más largo y fuerte de tu cuerpo.;Riesgo ALTO (Fractura de cuello femoral en geriátricos)
